acid,acname,asid
C8315,キテレツ大百科,C7022
C8317,シティーハンター2,C6942
C8319,SLAM DUNK,C1484
C8321,ママはぽよぽよザウルスがお好き,C1784
C8323,ご近所物語,C1785
C8325,飛べ! イサミ,C1752
C8328,ヨーヨーの猫つまみ,C1315
C8330,元気爆発ガンバルガー,C1316
C8332,ファンタジーアドベンチャー 長靴をはいた猫の冒険,C1317
C8334,サラダ十勇士 トマトマン,C1318
C8336,妖怪博士 水木しげるの夢探険 霊魂が騒ぎ!悪魔が笑う! これが超常現象だ!,C1319
C8338,超電動ロボ 鉄人28号FX,C3965
C8339,まんがなるほど物語,C6861
C8341,銀牙 流れ星銀,C6862
C8343,剛Q超児イッキマン,C6863
C8345,ウルトラマンキッズの ことわざ物語,C4490
C8347,ワンダービートS,C6864
C8349,青春アニメ全集,C6865
C8351,地上最強のエキスパートチーム G.I.ジョー,C6876
C8353,三国志Ⅱ 天翔ける英雄たち,C6809
C8355,Bugってハニー,C6884
C8357,たばこ1本のストーリー ハートカクテル,C6885
C8359,あんみつ姫,C6886
C8361,Oh!ファミリー,C6887
C8363,オズの魔法使い,C6888
C8365,ボスコアドベンチャー,C6889
C8367,聖闘士星矢,C6890
C8369,ドテラマン,C6891
C8371,がんばれ!キッカーズ,C6892
C8373,ドリモグだァ!!,C6894
C8375,戦え!超ロボット生命体 トランスフォーマー2010,C6820
C8377,Mr.ペンペンⅡ,C6900
C8379,Mr.ペンペン,C6900
C8381,虹のかなたへ! 少女ダイアナ妃物語,C6901
C8383,プンナよ木からおりてこい,C6902
C8385,愛の若草物語,C6932
C8387,新メイプルタウン物語 パームタウン編,C6850
C8389,機甲戦記ドラグナー,C6933
C8391,世紀末救世主伝説　北斗の拳２,C6792
C8393,陽あたり良好!,C6937
C8395,ことわざハウス健康編,C6940
C8397,ウルトラB,C6941
C8399,げらげらブース物語,C6944
C8401,鉄仮面を追え「ダルタニャン物語」より,C6948
C8403,マシンロボ ぶっちぎりボトルハッカーズ,C6870
C8405,トランスフォーマー ザ・ヘッドマスターズ,C6820
C8407,SLIPPY DANDY,C6952
C8409,レモンエンジェル（第1期）,C6869
C8411,のらくろクン,C4854
C8413,青春名作アニメ,C6865
C8415,ミスター味っ子,C6955
C8417,アニメ三銃士,C6956
C8419,アニメ80日間世界一周,C6957
C8421,ビックリマン,C6958
C8423,おらぁグズラだど（新）,C1490
C8425,仮面の忍者 赤影,C6959
C8427,マンガ日本経済入門,C6961
C8429,ついでにとんちんかん,C6962
C8431,瞳のなかの少年 15少年漂流記,C6133
C8433,グリム名作劇場,C6963
C8435,レディレディ !!,C6964
C8437,藤子不二雄のキテレツ大百科,C6966
C8439,セントエルモ光の来訪者,C6968
C8441,小公子セディ,C7009
C8443,闘将！拉麺男,C7010
C8445,88サイエンスアニメスペシャル　超・電・導ものがたり,C7011
C8447,ミッドナイトアニメ　レモンエンジェル（第２期）,C6869
C8449,宇宙伝説ユリシーズ３１,C7012
C8451,ゲゲゲの鬼太郎　地獄編,C1556
C8453,おそ松くん,C1179
C8455,魁！！男塾,C7014
C8457,つるピカハゲ丸くん,C7016
C8459,F-エフ,C7017
C8461,燃える！お兄さん,C7020
C8463,にこにこぷん,C7021
C8464,新まんがなるほど物語,C6861
C8466,ドクター秩父山,C7023
C8468,ディズニー劇場わんぱくダック夢冒険,C7024
C8470,めいさくわーるど,C7025
C8472,世界名作童話シリーズ,C3834
C8474,いきなりダゴン,C7027
C8476,新プロゴルファー猿,C6311
C8478,トランスフォーマー超神マスターフォース,C6820
C8480,超音戦士ボーグマン,C7028
C8482,ホワッツマイケル,C7029
C8484,魔神英雄伝ワタル,C7030
C8486,どんどんドメルとロン,C7033
C8488,トッポ❤ジージョ,C7034
C8490,鎧伝サムライトルーパー,C7035
C8492,ママお話しきかせて,C7036
C8494,ハロー! レディリン,C7039
C8496,鉄拳チンミ,C7040
C8498,ミッドナイトアニメ　レモンエンジェル（第３期）,C6869
C8500,ビリ犬,C7041
C8502,新グリム名作劇場,C6963
C8504,それいけ！アンパンマン,C7048
C8506,夢見るトッポ・ジ-ジョ,C7050
C8508,ひみつのアッコちゃん（新）,C1789
C8510,ハーイ　あっこです,C7051
C8512,美味しんぼ,C7052
C8514,名門！第三野球部,C7053
C8516,労働省アニメスペシャル マンガ がんばるサラリーマンのゆとり進化論,C7055
C8518,おぼっちゃまくん,C7102
C8521,DRAGON BALL Z,C6852
C8522,チロリン村物語,C1320
C8524,まんが日本史［NHK版］,C1321
C8526,お～い! 竜馬,C1322
C8529,ドラゴンリーグ,C1469
C8531,キャンディ ジェーンの不思議なドロップス,C1471
C8533,3丁目のタマ うちのタマ知りませんか?,C1475
C8535,ルパン三世 ルパン暗殺指令,C2445
