パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M727332,1989-12-16,8500.0,メガドライブ
M762262,1989-12-19,3400.0,ゲームボーイ
M727331,1989-12-19,6077.0,ファミリーコンピュータ
M727330,1989-12-19,5800.0,ファミリーコンピュータ
M727329,1989-12-20,5800.0,PCエンジン
M727326,1989-12-22,3400.0,ゲームボーイ
M727325,1989-12-22,5800.0,ファミリーコンピュータ
M727324,1989-12-22,6200.0,PCエンジン
M727323,1989-12-22,6200.0,PCエンジン
M727322,1989-12-22,5800.0,PCエンジン
M727327,1989-12-22,6500.0,ファミリーコンピュータ
M727321,1989-12-22,6600.0,PCエンジン
M747287,1989-12-22,2980.0,ゲームボーイ
M746507,1989-12-23,6800.0,メガドライブ
M727319,1989-12-23,6000.0,メガドライブ
M745758,1989-12-27,6600.0,PCエンジン
M727312,1990-01-05,6980.0,ファミリーコンピュータ
M754561,1990-01-12,2980.0,ゲームボーイ
M727311,1990-01-13,5500.0,メガドライブ
M759373,1990-01-13,3000.0,ゲームボーイ
M727310,1990-01-26,2600.0,ゲームボーイ
M727309,1990-01-26,5800.0,PCエンジン
M727308,1990-01-26,6600.0,PCエンジン
M727307,1990-01-26,6700.0,PCエンジン
M727306,1990-01-30,5200.0,メガドライブ
M727305,1990-02-01,4900.0,PCエンジン
M727304,1990-02-02,4900.0,ファミリーコンピュータ
M727303,1990-02-03,11800.0,ファミリーコンピュータ
M727302,1990-02-06,5300.0,ファミリーコンピュータ
M727301,1990-02-07,5800.0,PCエンジン
M727300,1990-02-11,8500.0,ファミリーコンピュータ
M727296,1990-02-23,6600.0,PCエンジン
M727294,1990-02-23,4500.0,PCエンジン
M727298,1990-02-23,6500.0,PCエンジン
M763953,1990-02-23,2980.0,ゲームボーイ
M727299,1990-02-23,3500.0,ゲームボーイ
M727293,1990-02-24,7000.0,メガドライブ
M727292,1990-03-01,5800.0,PCエンジン
M727291,1990-03-02,6000.0,メガドライブ
M727289,1990-03-02,5900.0,PCエンジン
M727288,1990-03-02,6500.0,ファミリーコンピュータ
M749143,1990-03-02,6300.0,PCエンジン
M748593,1990-03-03,6800.0,メガドライブ
M727287,1990-03-09,4500.0,ファミリーコンピュータ
M755981,1990-03-15,3300.0,ゲームボーイ
M727286,1990-03-16,6780.0,PCエンジン
M727284,1990-03-16,6800.0,PCエンジン
M727283,1990-03-16,5400.0,PCエンジン
M762123,1990-03-16,6200.0,メガドライブ
M755614,1990-03-16,3000.0,ゲームボーイ
M727282,1990-03-20,6900.0,メガドライブ
M756089,1990-03-21,3000.0,ゲームボーイ
M727279,1990-03-23,6800.0,メガドライブ
M755532,1990-03-23,3300.0,ゲームボーイ
M744405,1990-03-23,6700.0,PCエンジン
