ccid,crtid
C88808,CCRT00489
C88809,CCRT00923
C88809,CCRT02950
C88810,CCRT02021
C88811,CCRT00780
C88812,CCRT02305
C88816,CCRT01804
C88818,CCRT02886
C88850,CCRT02136
C88853,CCRT02886
C88854,CCRT01779
C88855,CCRT01779
C88865,CCRT02402
C88869,CCRT00088
C88870,CCRT03170
C88871,CCRT00758
C88879,CCRT00823
C88881,CCRT02275
C88882,CCRT02462
C88884,CCRT02020
C88885,CCRT00239
C88886,CCRT02440
C88887,CCRT03032
C88888,CCRT01707
C88889,CCRT01059
C88890,CCRT00083
C88891,CCRT01090
C88892,CCRT02907
C88893,CCRT02428
C88894,CCRT00614
C88895,CCRT01694
C88896,CCRT00705
C88897,CCRT01347
C88898,CCRT00395
C88899,CCRT01754
C88900,CCRT01779
C88902,CCRT01673
