マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名
C111059,CE185023,2016-01-20,0.5154867256637168,False,週刊少年サンデー
C111062,CE180925,2015-04-08,0.3211382113821138,False,週刊少年サンデー
C111062,CE180956,2015-04-15,0.4331983805668016,False,週刊少年サンデー
C111062,CE180982,2015-04-22,0.2615384615384615,False,週刊少年サンデー
C111062,CE181018,2015-04-29,0.4583333333333333,False,週刊少年サンデー
C111062,CE181068,2015-05-13,0.9979633401221996,False,週刊少年サンデー
C111062,CE181071,2015-05-20,0.0867768595041322,False,週刊少年サンデー
C111062,CE181108,2015-05-27,0.3868312757201646,False,週刊少年サンデー
C111062,CE181133,2015-06-03,0.2704918032786885,False,週刊少年サンデー
C111063,CE179630,2015-04-22,0.0254629629629629,False,週刊少年マガジン
C111063,CE179658,2015-04-29,0.0902777777777777,False,週刊少年マガジン
C111063,CE179692,2015-05-13,0.4334677419354839,False,週刊少年マガジン
C111063,CE179720,2015-05-20,0.4144736842105263,False,週刊少年マガジン
C111063,CE179754,2015-05-27,0.6921397379912664,False,週刊少年マガジン
C111063,CE179769,2015-06-03,0.2356828193832599,False,週刊少年マガジン
C111063,CE179770,2015-06-03,0.2797356828193832,False,週刊少年マガジン
C111063,CE179809,2015-06-10,0.8406113537117904,False,週刊少年マガジン
C111076,CE181011,2015-04-29,0.168560606060606,False,週刊少年サンデー
C111076,CE181043,2015-05-13,0.164969450101833,False,週刊少年サンデー
C111076,CE181076,2015-05-20,0.2417355371900826,False,週刊少年サンデー
C111076,CE181105,2015-05-27,0.2654320987654321,False,週刊少年サンデー
C111076,CE181136,2015-06-03,0.3504098360655737,False,週刊少年サンデー
C111076,CE181168,2015-06-10,0.4323770491803279,False,週刊少年サンデー
C111076,CE181196,2015-06-17,0.2883817427385892,False,週刊少年サンデー
C111076,CE181232,2015-06-24,0.4654471544715447,False,週刊少年サンデー
C111077,CE178612,2015-05-25,0.0062111801242236,False,週刊少年ジャンプ
C111077,CE178635,2015-06-01,0.2565656565656565,False,週刊少年ジャンプ
C111077,CE178661,2015-06-08,0.5149105367793241,False,週刊少年ジャンプ
C111077,CE178679,2015-06-15,0.3108910891089109,False,週刊少年ジャンプ
