アニメ作品ID,アニメ作品名,放送曜日,合計話数
C15621,はなかっぱ[第6期],月,20
C15780,深海 ダイバーズ,月,1
C15626,干物妹[ひもうと]! うまるちゃん,月,12
C12641,絶体絶命 でんぢゃらす じーさん [第3期],月,19
C14749,DiABOLiK LOVERS,月,12
C10438,［おどれ!タイポ］［第2期］,月,6
C10440,忍たま乱太郎［第10期］,月,17
C13971,ふしぎのヤッポ島　プキプキとポイ,月,5
C12647,ももんがぁモン,月,5
C12427,おじゃる丸［第3期］,月,18
C8672,PEACH COMMAND 新桃太郎伝説,月,24
C13573,パッコロリン,月,26
C15593,わし*も[第1期],月,2
C16132,ベイブレードバースト ゴッド,月,26
C15588,みならい ディーバ （※生アニメ）,月,10
C14760,ちとせ げっちゅ!![第1期],月,13
C12421,だんご3兄弟 あっという間劇場,月,23
C13716,ちび★デビ!,月,75
C12819,いない いない ばあっ!［第6期］,月,20
C12657,ヒピラくん 原作/大友克洋,月,2
C15583,バキバキ モンスター,月,13
C8734,機甲警察メタルジャック,月,37
C13969,こぴはん,月,7
C9867,お茶の水博士の 20世紀の贈りもの,月,1
C9863,ビックリマン2000,月,68
C10129,フィギュア17 つばさ＆ヒカル,月,1
C13581,うっかりペネロペ[第2期],月,8
C10421,獣兵衛忍風帖NINJA * SCROLL龍宝玉篇,月,2
C14669,忍たま 乱太郎 [第21期],月,15
C16141,ゼロから始める魔法の書,月,12
C16136,闇芝居［4期］,月,13
C10426,げんきげんきノンタン,月,2
C14695,アイカツ! アイドルカツドウ!,月,25
C14648,10秒チョットのアニメ,月,6
C9110,サイボーグ花ちゃん,月,3
C12894,TO-FU OYAKO,月,11
C15601,【オレアレ】,月,1
C8668,STREET FIGHTER Ⅱ V,月,28
C14693,[ムルムル先生の裏未来日記],月,16
C15599,うわばき クック,月,13
C12896,よばれてとびでて! アクビちゃん［第2期］,月,2
C13846,真剣で私に 恋しなさい!! まじこい,月,12
C16133,アキンド星の リトル・ペソ,月,12
C10127,チャンス トライアングルセッション,月,14
C12632,忍たま乱太郎［第13期］,月,12
C14649,[ストロー びゅるる],月,3
C13824,銀魂',月,51
C13673,おじゃる丸[第14期],月,18
C9205,ガンバリスト!駿,月,30
C14708,紙兎 ロペ 笑う朝には福来たるって マジっすか!?,月,112
C10256,攻殻機動隊 STAND ALONE COMPLEX,月,2
C9197,ニャッキ!,月,1
C13857,星空へ 架かる橋,月,12
C15686,怪 盗 ジョーカー MYSTERIOUS JOKER[第3期],月,13
C12545,N・H・Kにようこそ!,月,24
C13658,アスタロッテの おもちゃ!,月,4
C10264,ボンバーマン ジェッターズ,月,1
C14705,織田信奈の野望,月,13
C12540,ぴりっとQ,月,19
C9905,ぞうの ババール,月,12
C13684,クッキンアイドル アイ!マイ! まいん![第3期],月,21
C14716,キングダム,月,38
C9122,ちびまる子ちゃん［新］,月,1
C9903,へろへろくん,月,26
C14710,かよえ! チュー学,月,48
C12538,忍たま乱太郎[第7期],月,16
C16180,銀魂.,月,12
C9203,Jam the HOUSNAIL,月,10
C15697,猫嫌いの家に 生まれた猫好きが 猫と暮らす絵日記,月,2
C10217,こげぱん,月,2
C9931,Tales of Eternia THE ANIMATION,月,13
C9933,爆転シュート ベイブレード,月,51
C12573,Marginal Prince ─月桂樹の王子達─,月,13
C10231,パタパタ飛行船 の 冒険,月,1
C12571,金色のコルダ ～primo passo～,月,25
C9923,GATE KEEPERS,月,24
C10233,ぱにょ ぱにょ デ・ジ・キャラット,月,27
C12569,GALAXY ANGEL Ⅱ ギャラクシー エンジェる～ん,月,13
C13675,おはよう忍者隊 ガッチャマン,月,94
C10235,爆転シュート ベイブレード2002,月,51
C10237,炎の蜃気楼［ミラージュ］,月,13
C9124,鬼神童子ZENKI,月,50
C12567,ポケットモンスター ダイヤモンド＆パール,月,1
C12848,ミニモニ。やるのだぴょん,月,13
C10205,バンパイヤン・キッズ,月,1
C10247,Rahxephon,月,9
C15675,ノラガミARAGOTO,月,18
C10286,デュエル・マスターズ,月,20
C9213,はりもぐハーリー[第1期],月,16
C10324,ベイベー ばぁちゃん,月,11
C9221,ハニ太郎です。,月,14
C8726,おてんきボーイズ,月,2
C14703,エリアの騎士,月,1
C12511,結界師,月,37
C9881,女神候補生,月,12
C14725,GON,月,49
C14668,忍者 ハットリくん[インド版],月,36
C10334,おじゃる丸[第5期］,月,18
C12630,おじゃる丸［第8期］,月,18
C14726,咲 Saki 阿知賀編 episode of side-A,月,10
C8651,ロビンフッドの大冒険,月,3
C14727,しまじろうのわお!,月,153
C12876,でこぼこフレンズ,月,87
C16155,天使の3P!,月,12
C9879,POPEE the ぱフォーマー,月,13
C16151,がんがん がんこちゃん,月,11
C9883,六門天外 モンコレナイト,月,51
C13634,Teach,月,1
C8702,ゲッターロボ號,月,50
C15658,アニメおしりかじり虫[第4期],月,20
C13877,魔乳秘剣帖,月,12
C14704,おじゃる丸[第15期],月,18
C12620,うっかりペネロペ,月,6
C13883,未来日記,月,26
C14718,クッキンアイドル　アイ!マイ!　まいん![第4期],月,21
C9901,KakiKakiBook,月,5
C10292,piano,月,8
C13645,額縁をくぐって物語の中へ　[シリーズ],月,20
C13566,異国迷路の クロワーゼ The Animation,月,12
C14656,おじゃる丸[第16期],月,14
C13641,花咲く いろは,月,1
C12519,和和和 ワッピちゃん,月,3
C15700,うさぎのモフィ [第2期],月,12
C13639,俺たちに翼はない --under the innocent sky.,月,12
C12517,ゼロの使い魔,月,13
C13635,テレビまんが 昭和物語,月,13
C10308,キックオフ 2002,月,26
C10312,ロックマンエグゼ,月,56
C12874,いない いない ばあっ!［第7期］,月,20
C14761,ちとせ げっちゅ!![第2期],月,13
C13577,遊★戯★王 ZEXAL,月,74
C9861,ヨシモト ムチッ子物語[CG版],月,16
C15846,オトナの 一休さん[第1期],月,2
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,月,4
C10567,GO!GO! カートくん,月,3
C10565,ギャラクシーエンジェルS[第3期][スペシャル],月,2
C15544,はなかっぱ[第5期],月,21
C14776,パンダの たぷたぷ,月,85
C9991,闇の末裔,月,12
C12921,てれび絵本,月,103
C15765,どちゃもん じゅにあ,月,26
C8768,炎の闘球児 ドッジ弾平,月,48
C15545,fran❤cesca [フ ラ ン チェ ス カ],月,24
C8766,燃えろ! トップストライカー,月,1
C12729,カラオケ戦士 マイク次郎,月,20
C12801,いない いないばあっ!［第5期］,月,6
C9297,忍たま乱太郎[第4期],月,24
C12815,忍たま乱太郎［第9期］,月,16
