pkgid,pkgname,publisher,date,price
M727521,サッカーリーグ ウィナーズカップ,データイースト株式会社,1988-08-12,5800.0
M727520,FINAL LAP,ナムコ,1988-08-12,5200.0
M727519,ドラゴンボール 大魔王復活,バンダイ,1988-08-12,5800.0
M727518,ファミコンウォーズ,任天堂株式会社,1988-08-12,5500.0
M727516,亀の恩返し ウラシマ伝説,ハドソン,1988-08-26,5500.0
M727515,魔神英雄伝ワタル,HUDSON SOFT,1988-08-30,4900.0
M727514,エイリアンクラッシュ,ナグザット,1988-09-14,5200.0
M727513,孔雀王,ポニーキャニオン,1988-09-21,5800.0
M727511,魔境伝説,ビクター音楽産業株式会社,1988-09-23,5200.0
M727512,ガイアの紋章,日本コンピュータシステム株式会社,1988-09-23,5500.0
M727510,大戦略,クエスト,1988-10-11,5900.0
M727509,FANTASY ZONE,NECアベニュー株式会社,1988-10-14,4900.0
M727508,源平討魔伝,ナムコ,1988-10-21,4900.0
M727507,SUPER MARIO BROS. 3,任天堂株式会社,1988-10-23,6500.0
M749502,スーパーサンダーブレード,株式会社セガ・エンタープライゼス,1988-10-29,5800.0
M727506,SPACE HARRIER 2,セガ・エンタープライゼス,1988-10-29,5800.0
M727505,三國志,光栄,1988-10-30,9800.0
M727503,東方見文録,ナツメ株式会社,1988-11-10,5800.0
M727502,定吉七番 秀吉の黄金,HUDSON SOFT,1988-11-18,4900.0
M727501,ファミリーマージャン 2 上海への道,ナムコ,1988-11-25,4900.0
M727500,獣王記,セガ・エンタープライゼス,1988-11-27,5800.0
M727499,桃太郎電鉄 日本一周すちやらかトレイン,HUDSON SOFT,1988-12-02,5800.0
M736389,プロ野球 ファミリースタジアム,株式会社ゲームアーツ,1988-12-02,6800.0
M727497,No・Ri・Ko,ハドソン,1988-12-04,4980.0
M727496,SPACE HARRIER,NECアベニュー株式会社,1988-12-09,6700.0
M727495,CAPTAIN SILVER,徳間書店,1988-12-16,5500.0
M727493,かぐや姫伝説,ビクター音楽産業,1988-12-16,5900.0
M727492,DRAGON SPIRIT,ナムコ,1988-12-16,5500.0
M727494,究極ハリキリスタジアム,タイトー,1988-12-16,5500.0
M727491,ファイナルファンタジー2,SQUARE,1988-12-17,6500.0
M727490,プロ野球 ファミリースタジアム'88年度版,ナムコ,1988-12-20,4900.0
M727489,TETRIS,ビー・ピー・エス,1988-12-22,4900.0
M727488,あっぱれ! ゲートボール,HUDSON SOFT,1988-12-22,4900.0
M727487,ビックリマン大事界,ハドソン,1988-12-23,4980.0
M727486,AKIRA,タイトー,1988-12-24,6800.0
M746329,おそ松くん はちゃめちゃ劇場,株式会社セガ・エンタープライゼス,1988-12-24,5500.0
M754642,ビジランテ,アイレム株式会社,1989-01-14,6300.0
M727465,里見八犬伝,エス・エヌ・ケイ,1989-01-20,5900.0
M727464,ゾイド2 ゼネバスの逆襲,東芝EMI株式会社,1989-01-27,5900.0
M727463,パチ夫くん2,ココナッツ・ジャパン,1989-01-30,6500.0
M727462,ワギャンランド,ナムコ,1989-02-09,4900.0
M727461,NECTARIS,ハドソン,1989-02-09,5800.0
M745178,アレックスキッド -天空魔城-,株式会社セガ・エンタープライゼス,1989-02-10,5500.0
M727460,京都花の密室殺人事件,タイトー,1989-02-11,5900.0
M727459,ファミコンジャンプ 英雄列伝,バンダイ,1989-02-15,6500.0
M727458,ハイドライド3 闇からの訪問者,ナムコ,1989-02-17,6900.0
M727457,WIzaRdRyI LEGACY OF LLYLGAMYN,アスキー,1989-02-21,6500.0
M727455,がんばれペナントレース,コナミ,1989-02-28,5900.0
M727454,はにい いんざ すかい,FACE,1989-02-28,5200.0
M727453,早打ちスーパー囲碁,ナムコ,1989-03-03,5900.0
