ceid,cename,ccid,miid,page_start,page_end,pages,page_start_position,two_colored,four_colored,miname,mcid,mcname,date,price,ccname
CE58310,其之四百九十八 魔人ブウの不気味な動き,C87667,M543567,71.0,83.0,13.0,0.1546840958605664,False,False,週刊少年ジャンプ 1995年 表示号数1,C119459,週刊少年ジャンプ,1995-01-01,200.0,DRAGON　BALL
CE58330,其之四百九十七 孫悟飯の大逆襲!!,C87667,M543568,71.0,83.0,13.0,0.1702637889688249,False,False,週刊少年ジャンプ 1994年 表示号数52,C119459,週刊少年ジャンプ,1994-12-12,190.0,DRAGON　BALL
CE58352,其之四百九十六 絶体絶命大大大ピンチ!!,C87667,M543569,77.0,89.0,13.0,0.1738148984198645,False,False,週刊少年ジャンプ 1994年 表示号数51,C119459,週刊少年ジャンプ,1994-12-05,200.0,DRAGON　BALL
CE58374,其之四百九十五 強いぞ!!スーパーフュージョン,C87667,M543570,73.0,85.0,13.0,0.1662870159453303,False,False,週刊少年ジャンプ 1994年 表示号数50,C119459,週刊少年ジャンプ,1994-11-28,200.0,DRAGON　BALL
CE58397,其之四百九十四 がんばれ超ゴテンクスくん,C87667,M543571,97.0,109.0,13.0,0.2170022371364653,False,False,週刊少年ジャンプ 1994年 表示号数49,C119459,週刊少年ジャンプ,1994-11-21,200.0,DRAGON　BALL
CE58416,其之四百九十三 異次元からの脱出,C87667,M543572,43.0,55.0,13.0,0.1031175059952038,False,False,週刊少年ジャンプ 1994年 表示号数48,C119459,週刊少年ジャンプ,1994-11-14,190.0,DRAGON　BALL
CE58439,其之四百九十二 閉じられた異次元世界,C87667,M543573,89.0,101.0,13.0,0.210401891252955,False,False,週刊少年ジャンプ 1994年 表示号数47,C119459,週刊少年ジャンプ,1994-11-07,200.0,DRAGON　BALL
CE58461,其之四百九十一 必殺!カミカゼアタック,C87667,M543574,89.0,101.0,13.0,0.2213930348258706,False,False,週刊少年ジャンプ 1994年 表示号数46,C119459,週刊少年ジャンプ,1994-10-31,190.0,DRAGON　BALL
CE58480,其之四百九十 ゴテンクス自信満々!!,C87667,M543575,67.0,79.0,13.0,0.1519274376417233,False,False,週刊少年ジャンプ 1994年 表示号数45,C119459,週刊少年ジャンプ,1994-10-24,200.0,DRAGON　BALL
CE58502,其之四百八十九 ゴテンクスに自信あり!!,C87667,M543576,77.0,89.0,13.0,0.1929824561403508,False,False,週刊少年ジャンプ 1994年 表示号数44,C119459,週刊少年ジャンプ,1994-10-17,190.0,DRAGON　BALL
