マンガ作品名,掲載位置,ceid,date
ドカベン,0.0781990521327014,CE94059,1998-04-30
ドカベン,0.1547619047619047,CE94084,1998-04-23
ドカベン,0.0665024630541872,CE94546,1997-11-13
ドカベン,0.0319410319410319,CE94567,1997-11-06
ドカベン,0.0783847980997624,CE94591,1997-10-30
ドカベン,0.2541567695961995,CE94618,1997-10-23
ドカベン,0.108695652173913,CE94638,1997-10-16
ドカベン,0.181159420289855,CE94662,1997-10-09
ドカベン,0.0071599045346062,CE94682,1997-10-02
ドカベン,0.099273607748184,CE94524,1997-11-20
ドカベン,0.3665835411471321,CE94711,1997-09-25
ドカベン,0.1267942583732057,CE94750,1997-09-11
ドカベン,0.1515837104072398,CE94772,1997-09-04
ドカベン,0.0067264573991031,CE94791,1997-08-21
ドカベン,0.0813953488372093,CE94815,1997-08-14
ドカベン,0.3293838862559242,CE94840,1997-08-07
ドカベン,0.1220095693779904,CE94856,1997-07-31
ドカベン,0.1172248803827751,CE94879,1997-07-24
ドカベン,0.1267942583732057,CE94727,1997-09-18
ドカベン,0.0276381909547738,CE96497,1995-12-07
ドカベン,0.0799031476997578,CE94502,1997-11-27
ドカベン,0.1606714628297362,CE94459,1997-12-11
ドカベン,0.0071599045346062,CE94103,1998-04-16
ドカベン,0.139269406392694,CE94127,1998-04-09
ドカベン,0.2611764705882353,CE94152,1998-04-02
ドカベン,0.2471131639722864,CE94174,1998-03-26
ドカベン,0.0069284064665127,CE94192,1998-03-19
ドカベン,0.1607929515418502,CE94216,1998-03-12
