マンガ作者名,掲載年,初掲載年,合計話数
椎名高志,1970,1989,0
満田拓也,1970,1989,0
西本英雄,1970,1989,0
西森博之,1970,1989,0
椎名高志,1971,1989,0
満田拓也,1971,1989,0
西本英雄,1971,1989,0
西森博之,1971,1989,0
椎名高志,1972,1989,0
満田拓也,1972,1989,0
西本英雄,1972,1989,0
西森博之,1972,1989,0
椎名高志,1973,1989,0
満田拓也,1973,1989,0
西本英雄,1973,1989,0
西森博之,1973,1989,0
椎名高志,1974,1989,0
満田拓也,1974,1989,0
西本英雄,1974,1989,0
西森博之,1974,1989,0
椎名高志,1975,1989,0
満田拓也,1975,1989,0
西本英雄,1975,1989,0
西森博之,1975,1989,0
椎名高志,1976,1989,0
満田拓也,1976,1989,0
西本英雄,1976,1989,0
西森博之,1976,1989,0
椎名高志,1977,1989,0
満田拓也,1977,1989,0
西本英雄,1977,1989,0
西森博之,1977,1989,0
椎名高志,1978,1989,0
満田拓也,1978,1989,0
西本英雄,1978,1989,0
西森博之,1978,1989,0
椎名高志,1979,1989,0
満田拓也,1979,1989,0
西本英雄,1979,1989,0
西森博之,1979,1989,0
椎名高志,1980,1989,0
満田拓也,1980,1989,0
西本英雄,1980,1989,0
西森博之,1980,1989,0
椎名高志,1981,1989,0
満田拓也,1981,1989,0
西本英雄,1981,1989,0
西森博之,1981,1989,0
椎名高志,1982,1989,0
満田拓也,1982,1989,0
西本英雄,1982,1989,0
西森博之,1982,1989,0
椎名高志,1983,1989,0
満田拓也,1983,1989,0
西本英雄,1983,1989,0
西森博之,1983,1989,0
椎名高志,1984,1989,0
満田拓也,1984,1989,0
西本英雄,1984,1989,0
西森博之,1984,1989,0
椎名高志,1985,1989,0
満田拓也,1985,1989,0
西本英雄,1985,1989,0
西森博之,1985,1989,0
椎名高志,1986,1989,0
満田拓也,1986,1989,0
西本英雄,1986,1989,0
西森博之,1986,1989,0
椎名高志,1987,1989,0
満田拓也,1987,1989,0
西本英雄,1987,1989,0
西森博之,1987,1989,0
椎名高志,1988,1989,0
満田拓也,1988,1989,0
西本英雄,1988,1989,0
西森博之,1988,1989,0
椎名高志,1989,1989,8
満田拓也,1989,1989,23
西本英雄,1989,1989,2
西森博之,1989,1989,1
椎名高志,1990,1989,5
満田拓也,1990,1989,50
西本英雄,1990,1989,4
西森博之,1990,1989,39
椎名高志,1991,1989,23
満田拓也,1991,1989,47
