マンガ作品名,マンガ雑誌名,初出年代,制作形態,マンガ雑誌名ID
美味パラダイス,週刊少年サンデー,1980,共同制作,0
パワーダンス,週刊少年サンデー,1980,共同制作,0
ファイナルワン,週刊少年サンデー,1980,共同制作,0
プロレススーパースター列伝,週刊少年サンデー,1980,共同制作,0
ベアマーダー流介,週刊少年サンデー,1980,共同制作,0
ホッケーウルフ,週刊少年サンデー,1980,共同制作,0
リュウ,週刊少年サンデー,1980,共同制作,0
流氷の音が聞こえる,週刊少年サンデー,1980,共同制作,0
24時間営業中,週刊少年サンデー,1980,単独制作,0
2年A組星子先生,週刊少年サンデー,1980,単独制作,0
2人でトライアングル,週刊少年サンデー,1980,単独制作,0
I`mナム,週刊少年サンデー,1980,単独制作,0
KAZZ,週刊少年サンデー,1980,単独制作,0
Let's 漁平,週刊少年サンデー,1980,単独制作,0
LOVELY DAWN＋1,週刊少年サンデー,1980,単独制作,0
MAD STONE,週刊少年サンデー,1980,単独制作,0
COUNTRY GIRLS,週刊少年サンデー,1980,単独制作,0
DADA!,週刊少年サンデー,1980,単独制作,0
DRAGON BLASTER,週刊少年サンデー,1980,単独制作,0
Dr.椎名の教育的指導,週刊少年サンデー,1980,単独制作,0
ETC.ボーイズ,週刊少年サンデー,1980,単独制作,0
NO.1リンナ,週刊少年サンデー,1980,単独制作,0
OKADA武芸帳,週刊少年サンデー,1980,単独制作,0
OKAPPIKI EIJI,週刊少年サンデー,1980,単独制作,0
OKAPPIKI EIJI 2,週刊少年サンデー,1980,単独制作,0
OKAPPIKI EIJI 3,週刊少年サンデー,1980,単独制作,0
OVER ACTIVE,週刊少年サンデー,1980,単独制作,0
PHOTOホトまいっちゃうぜ!,週刊少年サンデー,1980,単独制作,0
RENTED HOUSE,週刊少年サンデー,1980,単独制作,0
青空しょって,週刊少年サンデー,1980,単独制作,0
青空ふろっぴぃ,週刊少年サンデー,1980,単独制作,0
あだち充 ミニアルバム 震度4,週刊少年サンデー,1980,単独制作,0
アタッカーなにわ,週刊少年サンデー,1980,単独制作,0
ST-300が来た日,週刊少年サンデー,1980,単独制作,0
TO-Y,週刊少年サンデー,1980,単独制作,0
WAKE UP,週刊少年サンデー,1980,単独制作,0
Wスマッシュ,週刊少年サンデー,1980,単独制作,0
YAIBA,週刊少年サンデー,1980,単独制作,0
ZUKKOKEくらぶ,週刊少年サンデー,1980,単独制作,0
愛してサイキック,週刊少年サンデー,1980,単独制作,0
愛情エスプレッソ,週刊少年サンデー,1980,単独制作,0
あいつ,週刊少年サンデー,1980,単独制作,0
GU-GUガンモ,週刊少年サンデー,1980,単独制作,0
GOAL,週刊少年サンデー,1980,単独制作,0
HEAVEN,週刊少年サンデー,1980,単独制作,0
I LOVE あやめ,週刊少年サンデー,1980,単独制作,0
ING!ラブボール,週刊少年サンデー,1980,単独制作,0
IQボーイ,週刊少年サンデー,1980,単独制作,0
アップル・シンデレラ,週刊少年サンデー,1980,単独制作,0
穴ザ❤わあるど,週刊少年サンデー,1980,単独制作,0
